SpecID,_SpecID
CNC_Diptera37663,CNC_Diptera37663
CNC_Diptera37676,CNC_Diptera37676
CNC_Diptera37704,CNC_Diptera37704
CNC_Diptera37752,CNC_Diptera37752
CNC_Diptera37753,CNC_Diptera37753
CNC_Diptera37763,CNC_Diptera37763
CNC_Diptera37835,CNC_Diptera37835
CNC_Diptera37836,CNC_Diptera37836
CNC_Diptera37853,CNC_Diptera37853
CNC_Diptera37873,CNC_Diptera37873
CNC_Diptera37890,CNC_Diptera37890
CNC_Diptera3790,CNC_Diptera3790
CNC_Diptera37930,CNC_Diptera37930
CNC_Diptera3798,CNC_Diptera3798
CNC_Diptera37989,CNC_Diptera37989
CNC_Diptera3801,CNC_Diptera3801
CNC_Diptera38012,CNC_Diptera38012
CNC_Diptera38013,CNC_Diptera38013
CNC_Diptera3802,CNC_Diptera3802
CNC_Diptera38022,CNC_Diptera38022
CNC_Diptera38039,CNC_Diptera38039
CNC_Diptera3805,CNC_Diptera3805
CNC_Diptera38061,CNC_Diptera38061
CNC_Diptera38102,CNC_Diptera38102
CNC_Diptera38103,CNC_Diptera38103
CNC_Diptera38105,CNC_Diptera38105
CNC_Diptera38107,CNC_Diptera38107
CNC_Diptera38165,CNC_Diptera38165
CNC_Diptera38166,CNC_Diptera38166
CNC_Diptera38313,CNC_Diptera38313
CNC_Diptera38361,CNC_Diptera38361
CNC_Diptera38679,CNC_Diptera38679
CNC_Diptera38691,CNC_Diptera38691
CNC_Diptera38704,CNC_Diptera38704
CNC_Diptera38727,CNC_Diptera38727
CNC_Diptera389,CNC_Diptera389
CNC_Diptera38961,CNC_Diptera38961
CNC_Diptera392,CNC_Diptera392
CNC_Diptera393,CNC_Diptera393
CNC_Diptera39331,CNC_Diptera39331
CNC_Diptera394,CNC_Diptera394
CNC_Diptera39441,CNC_Diptera39441
CNC_Diptera39445,CNC_Diptera39445
CNC_Diptera39802,CNC_Diptera39802
CNC_Diptera39851,CNC_Diptera39851
CNC_Diptera40126,CNC_Diptera40126
CNC_Diptera4023,CNC_Diptera4023
CNC_Diptera40270,CNC_Diptera40270
CNC_Diptera4040,CNC_Diptera4040
CNC_Diptera4061,CNC_Diptera4061
CNC_Diptera40632,CNC_Diptera40632
CNC_Diptera40778,CNC_Diptera40778
CNC_Diptera40779,CNC_Diptera40779
CNC_Diptera40780,CNC_Diptera40780
CNC_Diptera40781,CNC_Diptera40781
CNC_Diptera40782,CNC_Diptera40782
CNC_Diptera40866,CNC_Diptera40866
CNC_Diptera40867,CNC_Diptera40867
CNC_Diptera40887,CNC_Diptera40887
CNC_Diptera40888,CNC_Diptera40888
CNC_Diptera4090,CNC_Diptera4090
CNC_Diptera40963,CNC_Diptera40963
CNC_Diptera40974,CNC_Diptera40974
CNC_Diptera40975,CNC_Diptera40975
CNC_Diptera41000,CNC_Diptera41000
CNC_Diptera41041,CNC_Diptera41041
CNC_Diptera4109,CNC_Diptera4109
CNC_Diptera41381,CNC_Diptera41381
CNC_Diptera41388,CNC_Diptera41388
CNC_Diptera41389,CNC_Diptera41389
CNC_Diptera41448,CNC_Diptera41448
CNC_Diptera41450,CNC_Diptera41450
CNC_Diptera41508,CNC_Diptera41508
CNC_Diptera41509,CNC_Diptera41509
CNC_Diptera41665,CNC_Diptera41665
CNC_Diptera41667,CNC_Diptera41667
CNC_Diptera4189,CNC_Diptera4189
CNC_Diptera4200,CNC_Diptera4200
CNC_Diptera42046,CNC_Diptera42046
CNC_Diptera42048,CNC_Diptera42048
CNC_Diptera42271,CNC_Diptera42271
CNC_Diptera42272,CNC_Diptera42272
CNC_Diptera42379,CNC_Diptera42379
CNC_Diptera42380,CNC_Diptera42380
CNC_Diptera42605,CNC_Diptera42605
CNC_Diptera42608,CNC_Diptera42608
CNC_Diptera42609,CNC_Diptera42609
CNC_Diptera42630,CNC_Diptera42630
CNC_Diptera42631,CNC_Diptera42631
CNC_Diptera42756,CNC_Diptera42756
CNC_Diptera42757,CNC_Diptera42757
CNC_Diptera42874,CNC_Diptera42874
CNC_Diptera4295,CNC_Diptera4295
CNC_Diptera4309,CNC_Diptera4309
CNC_Diptera43110,CNC_Diptera43110
CNC_Diptera43124,CNC_Diptera43124
CNC_Diptera43134,CNC_Diptera43134
CNC_Diptera43135,CNC_Diptera43135
CNC_Diptera43138,CNC_Diptera43138
CNC_Diptera43169,CNC_Diptera43169
CNC_Diptera4346,CNC_Diptera4346
CNC_Diptera43609,CNC_Diptera43609
CNC_Diptera43610,CNC_Diptera43610
CNC_Diptera43611,CNC_Diptera43611
CNC_Diptera43612,CNC_Diptera43612
CNC_Diptera43613,CNC_Diptera43613
CNC_Diptera43717,CNC_Diptera43717
CNC_Diptera43732,CNC_Diptera43732
CNC_Diptera43733,CNC_Diptera43733
CNC_Diptera43735,CNC_Diptera43735
CNC_Diptera43737,CNC_Diptera43737
CNC_Diptera43826,CNC_Diptera43826
CNC_Diptera43867,CNC_Diptera43867
CNC_Diptera43943,CNC_Diptera43943
CNC_Diptera4399,CNC_Diptera4399
CNC_Diptera4403,CNC_Diptera4403
CNC_Diptera4405,CNC_Diptera4405
CNC_Diptera44052,CNC_Diptera44052
CNC_Diptera44053,CNC_Diptera44053
CNC_Diptera44063,CNC_Diptera44063
CNC_Diptera44088,CNC_Diptera44088
CNC_Diptera44176,CNC_Diptera44176
